id              name
692             Open Social Api
7829207         BigQuery
7829208         Business Objects
7829178         Coherence Grid
17767646        Flume
17767645        HBase
7829199         MongoDB
7829192         Oracle Coherence
17767644        Pentaho
9427110         Qlikview
7829191         Redis
13436893        TypePad
2608169         Boost
4434927         Amazon Cloud Front
4434928         Amazon CloudWatch
4434923         Amazon EBS (Elastic Block Storage)
4434921         Amazon EC2 (Elastic Compute Cloud)
4434925         Amazon EIP (Elastic IP)
4434924         Amazon ELB (Elastic Load Balancer)
4434926         Amazon S3 (Simple Storage Service)
13436891        Force.com
4434922         Globant Custom AMI (Amazon Machine Image)
14538807        Google AppEngine
17767648        Machine Learning
17767649        Mahout
17767647        R - RevolutionR
17767650        Stochastic calculus
17767651        Time Series
624             Codesmith/.netTiers
767             PEAR
766             PECL
625             Team Foundation Server
4434918         JBehave
626             nDoc
768             phpDocumentor
2645368         Sand Castle
93              Eclipse GEF (Graphical Editing Framework)
94              Eclipse Plugins Development
95              EMF (Eclipse Modeling Framework)
96              Celtix M2A
97              ChainBuilder ESB
98              LogicBlaze FUSE
99              Mule
100             Open ESB
101             ServiceMix
2337835         Code Charge Studio
2307643         CodeGear
770             Eclipse PDT
2307644         IntelliJ
7829205         IntelliJ Idea (IDE)
2307645         JCreator
2307646         JDeveloper
2307647         NetBeans
771             phpED (NuSphere)
772             PHPEdit (WaterProof)
2307648         Pydev
7829214         Rational Application Developer
9427114         Ride
627             Visual InterDev
628             Visual Studio
629             Visual Studio .NET 2002/2003
630             Visual Studio .NET 2005
744             Visual Studio .NET 2008
631             Visual Studio .NET IDE object model
7829176         Visual Studio 2010
15120618        Visual Studio 2012
4434913         Jackrabbit
17767654        3d.js
9427100         Angular.js
7223792         Backbone.js
7223790         Dundas Dashboard
15120623        Ember.js
7223793         Express.js
13436890        Handlebars
7223794         Jsdom
9427099         Knockout.js
15120625        Marionette.js
15120624        Mustache
9427098         MVC/CanJs
7223791         Node.js
13436889        Underscore
142             ActiveMQ
143             Hermes JMS
144             JORAM
2307630         MQSeries
145             OpenJMS
15120605        Autofac
160             HiveMind
161             NanoContainer
15120606        Ninject
162             PicoContainer
163             Spring
632             Spring.NET
15120604        StructureMap
15120603        Unity
2645365         Windsor Container
168             Commons Logging
15120614        Elmah
169             Just4Log
171             Log-Bridge
170             Log4J
633             log4net
172             Simple Log
173             SLF4J
174             Trace Log
2608164         Android SDK
2608165         IPhone SDK
16700218        Sony Add-on SDK
198             AppFuse
16700217        Aura
760             CakePHP
2307619         CherryPy
2307620         Django
199             Grails
2645366         MVC ASP.NET
200             MyFaces
2608168         Qt
201             RIFE
202             Spring MVC
203             Struts
204             Struts2
759             Symfony
205             Tapestry
206             Trails
207             WebWork
2645363         .NET Entity Framework
208             Castor
209             Cayenne
758             Doctrine
210             Hibernate
211             iBATIS
7984272         JPA
212             JPOX
634             NHibernate
757             Propel
2307617         SQLAlchemy
2307618         Storm
213             Torque
15120621        Client Side Scripting
745             Disk Access
7829209         EMC Captiva
15120620        HTTP
746             Memory
747             Performance
748             Vectorization
2307622         Cocoa
2307621         Cocoa Touch
2307623         FEng (Front Engine)
769             Shindig
230             WAP
2645373         ANTLR
2645375         Grammatica
2645374         Parser Gold
231             FOP
764             FPDF
765             Haru PDF
2337834         HTMLDOC
232             iText
15120615        iTextSharp
233             JFreeReport
